distrito,exp_vida_anos
Cidade Tiradentes,55.15105386416862
Jardim Ângela,55.486720867208675
Anhanguera,55.57664543524416
Iguatemi,56.50471124620061
Grajaú,56.62450362064938
Parelheiros,57.92886002886003
Lajeado,57.934194410422
São Rafael,58.2586129753915
Capão Redondo,58.830426431041104
Brasilândia,58.994856676911496
Guaianases,59.16599799398195
Perus,59.219417917235106
Jaraguá,59.314453699167075
Itaim Paulista,59.79143751586429
Pedreira,59.80555112458127
Jardim São Luís,59.87487291212781
Campo Limpo,60.063647490820074
Marsilac,60.209549071618035
Jardim Helena,60.21497168185176
Vila Jacuí,60.81401416325009
Parque do Carmo,60.85805384978744
Vila Andrade,61.73782535684299
Vila Curuçá,61.856804867057235
José Bonifácio,62.21169176262179
Cachoeirinha,62.26023063577916
Sapopemba,62.57485314187385
Raposo Tavares,62.67272024729521
Itaquera,62.7901130806846
Cidade Líder,63.03931864754098
Sé,63.065292096219935
Cidade Ademar,63.07411689145793
Ermelino Matarazzo,63.173556141893876
Brás,63.45949214026602
Cidade Dutra,63.75551191645095
São Mateus,63.837979438513244
Tremembé,64.27811308767471
São Miguel,65.16971314209474
Cangaíba,65.23711776531584
Jaçanã,66.33382966051221
Jaguaré,66.39820694807621
República,66.48566950291088
Vila Maria,66.53771832032702
Sacomã,66.73857554549197
Artur Alvim,66.81190851735016
Rio Pequeno,66.92693877551021
Pirituba,66.97321951627751
Ponte Rasa,67.0054731384128
Pari,67.21558441558442
Vila Medeiros,67.71383826879271
Bom Retiro,67.87867813490267
São Domingos,67.96321360402568
Freguesia do Ó,68.2237992211164
Limão,68.27460126391814
Jabaquara,68.62780593772628
Aricanduva,68.7671777399205
São Lucas,69.52126058325494
Campo Grande,70.0473602484472
Vila Sônia,70.05216982610058
Casa Verde,70.0760623418143
Vila Matilde,70.28306319003994
Belém,70.36587147030185
Mandaqui,70.4612358837711
Penha,70.58946428571429
Jaguara,70.88851351351352
Vila Prudente,71.3847961461638
Cursino,71.48938960419648
Vila Formosa,71.54387976054007
Socorro,71.66063209573488
Vila Guilherme,71.91581366200126
Morumbi,71.9605077574048
Santa Cecília,72.48185666767463
Ipiranga,72.50837924701561
Carrão,72.69119917653114
Bela Vista,72.70812603648424
Liberdade,72.82049739269956
Cambuci,72.93467819404418
Vila Leopoldina,73.00434593654933
Água Rasa,73.04544928877067
Tucuruvi,73.13298923786515
Barra Funda,73.4476127320955
Santana,74.39096357768557
Tatuapé,74.6309898126022
Butantã,75.06442577030812
Moóca,75.3498874321282
Campo Belo,75.80947663859996
Santo Amaro,76.05003897116134
Saúde,76.33699823669744
Lapa,76.53270459385458
Perdizes,77.19341823225318
Vila Mariana,77.21579584613951
Itaim Bibi,77.82157142857143
Pinheiros,77.95240939864595
Consolação,78.06488888888889
Moema,78.38009700017963
Alto de Pinheiros,78.5765595463138
Jardim Paulista,78.93594618309447
